id;code;name;dpto_code;unit;current_stock;cost_max;photo_url;dpto_id;show;orden;cost_oferta;cost_mayor;cost_min;checked
4281;GA002-01;SOCATE LATERAL ORIGINAL DODGE BOMBILLO 158;AUTO.90;PZA;0;3.107;GA002-01.jpg;96;t;1;0;0;0;f
4282;GA002-02;CONECTOR ELECTRO VENTILADOR G.M. CENTUR (SQ-273=025);AUTO.90;PZA;140;2.517;GA002-02.jpg;96;t;1;0;0;0;f
4283;GA002-03;GAH02-07...CONECTOR LUZ FLASHER 2 VIAS;AUTO.90;PZA;0;0;GA002-03.jpg;96;t;1;0;0;0;f
4284;GA002-04;SOCATE UNIVERSAL METAL PINZA 2 CONTACTO;AUTO.90;PZA;-7;0.8;GA002-04.jpg;96;t;1;0;0.523;0;f
4285;GA002-05;SOCATE DE COCUYO DE CHEVETTE;AUTO.90;PZA;0;0;GA002-05.jpg;96;t;1;0;0;0;f
4286;GA002-06;SOCATE PLANO-BANDERA DE GENERAL MOTOR 1 CONTACTO;AUTO.90;PZA;19;5.31;GA002-06.jpg;96;t;1;0;0;0;f
4287;GA002-07;CONECTOR GOMA MACHO HEMBRA 2 VIAS MAGNETO;AUTO.90;PAR;0;2;GA002-07.jpg;96;t;1;0;0;0;f
4288;GA002-08;CONECTOR REGULADOR CHEVROLET AWG 14;AUTO.90;PZA;30;1.92;GA002-08.jpg;96;t;1;0;0;0;f
4289;GA002-085;SOCATE PLASTICO UNIVERSAL BOMBILLO 1073 1 CONTACTO ( A131016-52);AUTO.90;PZA;5;0.89;GA002-085.jpg;96;t;1;0;0;0;f
4290;GA002-086;SOCATE BOMBILLO 9005-9006-9012 PLASTICO (A-CONE-9012;AUTO.90;PZA;50;4.785;GA002-086.jpg;96;t;1;0;0;0;f
4291;GA002-087;SOCATE BOMBILLO PSX24W-H16 PLASTICO (A-CONE-H16);AUTO.90;PZA;73;4.027;GA002-087.jpg;96;t;1;0;0;0;f
4292;GA002-088;&&&&& GA004-022;AUTO.90;PZA;0;2.013;GA002-088.jpg;96;t;1;0;1.867;0;f
4293;GA002-089;SOCATE BOMBILLO 1073(1156) SQ-2000 (2);AUTO.90;PZA;1;1.773;GA002-089.jpg;96;t;1;0;0;0;f
4294;GA002-09;CONECTOR BOBINA DE FORD;AUTO.90;PZA;14;3.232;GA002-09.jpg;96;t;1;0;0;0;f
4295;GA002-090;CONECTOR VALVULA RETROCESO SQ926 (2);AUTO.90;PZA;0;1.165;GA002-090.jpg;96;t;1;0;0;0;f
4296;GA002-091;CONECTOR VALVULA MOTOR VENTILA 96A-F1A (2);AUTO.90;PZA;0;1.88;GA002-091.jpg;96;t;1;0;0;0;f
4297;GA002-092;CONECTOR ALTERN MITSUBISHI KIA FESTIVA BOBINA NISSAN TIPO PISTOLA LH;AUTO.90;PZA;2;1.053;GA002-092.jpg;96;t;1;0;0.88;0;f
4298;GA002-093;CONECTOR BOMBA GAS UNIVERSAL SQ1089 (2);AUTO.90;PZA;3;2.307;GA002-093.jpg;96;t;1;0;0;0;f
4299;GA002-094;CONECTOR BOBINA CHEVROLET SPARK 55A-F1 (2);AUTO.90;PZA;137;3.605;GA002-094.jpg;96;t;1;0;1.64;0;f
4300;GA002-095;SOCATE UNIVERSAL 2CONTCTO PA SQ-1006-2C (2);AUTO.90;PZA;5;1.373;GA002-095.jpg;96;t;1;0;0;0;f
4301;GA002-096;CONECTOR SENSOR DE TEMPERATURA AIRE AMBIENTE HYUNDAI KIA;AUTO.90;PZA;383;1.693;GA002-096.jpg;96;t;1;0;1.467;0;f
4302;GA002-097;CONECTOR ARNES UNIVERSAL TRAILER 3 PINES;AUTO.90;PZA;185;3.517;GA002-097.jpg;96;t;1;0;0.973;0;f
4303;GA002-098;SOCATE METAL UNIVERSAL 2 CONTA 12141-F1R (2);AUTO.90;PZA;5;1.453;GA002-098.jpg;96;t;1;0;0;0;f
4304;GA002-099;CONECTOR DE BOBINA HYUNDAI GETZ ELANTRA IZQUIERDO;AUTO.90;PZA;5;1.867;GA002-099.jpg;96;t;1;0;0;0;f
4305;GA002-10;CONECTOR REGULADOR DE CHEVROLET AWG 18;AUTO.90;PZA;-30;0.84;GA002-08.jpg;96;t;1;0;0;0;f
4306;GA002-100;CONECTOR VALVULA REVERSO TIPO F1R-2319 (2);AUTO.90;PZA;0;2.307;GA002-100.jpg;96;t;1;0;0;0;f
4307;GA002-101;SOCATE BOMBILLO158 PARA FAROS SQ-165 (2);AUTO.90;PZA;4;0.817;GA002-101.jpg;96;t;1;0;0.681;0;f
4308;GA002-102;CONECTOR ELECTROVENTILADOR YR SQ-346 (2);AUTO.90;PZA;0;2.805;GA002-102.jpg;96;t;1;0;0;0;f
4309;GA002-103;SOCATE BOMBILLO H10 SQ-581 (2);AUTO.90;PZA;190;3.813;GA002-103.jpg;96;t;1;0;0;0;f
4310;GA002-104;CONECTOR VALVULA TEMPERATURA FORD EXPLORER RANGER FIESTA KA;AUTO.90;PZA;0;2.04;GA002-104.jpg;96;t;1;0;0;0;f
4311;GA002-106;SOCATE BOMBILLO SQ582 (2);AUTO.90;PZA;0;2.84;GA002-106.jpg;96;t;1;0;0;0;f
4312;GA002-107;SOCATE DOBLE BOMBILLO 158 CON CONECTOR;AUTO.90;PZA;0;2.453;GA002-107.jpg;96;t;1;0;0;0;f
4313;GA002-108;SOCATE BOMBILLO 880.881.889 SQ-539 (2);AUTO.90;PZA;1;1.253;GA002-108.jpg;96;t;1;0;0;0;f
4314;GA002-109;SOCATE STOP BOMBILLO 7440 SIMP SQ-169 (2);AUTO.90;PZA;126;2.307;GA002-109.jpg;96;t;1;0;2.067;0;f
4315;GA002-11;SOCATE LUZ LATERAL BOMBILLO 158 GM CHEV;AUTO.90;PZA;1865;1.973;GA002-11.jpg;96;t;1;0;0.76;0.599;f
4316;GA002-110;SOCATE BOMBILLO E SQ1900 (2);AUTO.90;PZA;20;1.373;GA002-110.jpg;96;t;1;0;0;0;f
4317;GA002-111;SOCATE LUZ PLACA UNIVERSAL BOMBILLO 158 F1R-154 (2);AUTO.90;PZA;10;1.867;GA002-111.jpg;96;t;1;0;0;0;f
4318;GA002-112;CONECTOR INYECTOR TBI GM BLEZER SQ-292 (2);AUTO.90;PZA;5;3.027;GA002-112.jpg;96;t;1;0;0;0;f
4319;GA002-113;CONECTOR CARBURADOR 2T4 BOCA SQ-306 (2);AUTO.90;PZA;10;2.585;GA002-113.jpg;96;t;1;0;0;0;f
4320;GA002-114;CONECTOR BOMBA GAS ELECTRICA SQ-499 (2);AUTO.90;PZA;0;2.307;GA002-114.jpg;96;t;1;0;0;0;f
4321;GA002-115;CONECTOR LAMPARE LED 2 ENTRADA SQ921 (2);AUTO.90;PZA;1;2.973;GA002-115.jpg;96;t;1;0;0;0;f
4322;GA002-116;CONECTOR ARNES UNIVERSAL2 F1R-915 (2);AUTO.90;PZA;5;2.973;GA002-116.jpg;96;t;1;0;0;0;f
4323;GA002-117;CONECTOR MOTOR ELECTROVENTILADOR SQ-468 (2);AUTO.90;PZA;10;2.6;GA002-117.jpg;96;t;1;0;0;0;f
4324;GA002-118;CONECTOR VALVULA DE TEMPERATURA SQ-1089 (2);AUTO.90;PZA;0;3.027;GA002-118.jpg;96;t;1;0;0;0;f
4325;GA002-119;SOCATE METAL 2 CONTACTOS F1R-1236 (2);AUTO.90;PZA;5;1.107;GA002-119.jpg;96;t;1;0;0;0;f
4326;GA002-12;SOCATE G.M. PARA BOMBILLO 1073;AUTO.90;PZA;0;2.384;GA002-12.jpg;96;t;1;0;0;0;f
4327;GA002-120;CONECTOR BOMBA GASOLINA ELECTR X719ND (2);AUTO.90;PZA;19;2.347;GA002-120.jpg;96;t;1;0;0;0;f
4328;GA002-121;SOCATE BOMBILLO FARO LUZ CRUCE SQ-1127 (2);AUTO.90;PZA;5;2.307;GA002-121.jpg;96;t;1;0;0;0;f
4329;GA002-122;CONECTOR ALTERN MITSUBISHI KIA FESTIVA BOBINA NISSAN TIPO PISTOLA LM;AUTO.90;PZA;-2;2.48;GA002-122.jpg;96;t;1;0;0;0;f
4330;GA002-123;SOCATE STOP Y CRUCE 2C FORD MO SQ-216 (2);AUTO.90;PZA;3;0.667;GA002-123.jpg;96;t;1;0;0;0;f
4331;GA002-124;CONECTO ALT MITSUBISHI VARIOS SQ-1338 (2);AUTO.90;PZA;0;2.079;GA002-124.jpg;96;t;1;0;0;0;f
4332;GA002-125;CONECTOR MOTOR VENTILADOR 59A-F1 (2);AUTO.90;PZA;0;3.707;GA002-125.jpg;96;t;1;0;0;0;f
