code;name;cost_max;unit;current_stock;dpto_code;orden;cost_oferta;cost_mayor;cost_min
AAA125;"TERMINAL ANILLO 1/8"" (AMARILLO)";148.000;PZA;6200;FERR.01;120;0,000;96.000;52.000
AAA156;"TERMINAL ANILLO 5/32"" (AMARILLO) AWG";148.000;PZA;8600;FERR.01;120;0,000;96.000;52.000
AAA187;"TERMINAL ANILLO 3/16"" (AMARILLO) AWG";171.000;PZA;18900;FERR.01;120;0,000;111.000;52.000
AAA250;"TERMINAL ANILLO 1/4"" (AMARILLO) AWG";171.000;PZA;13600;FERR.01;120;0,000;111.000;
AAA312;"TERMINAL ANILLO 5/16"" (AMARILLO) AWG12-10 PRE-AISLADO";221.000;PZA;11400;FERR.01;120;0,000;143.000;95.000
AAA375;"TERMINAL ANILLO 3/8"" (AMARILLO) AWG12-10 PRE-AISLADO";221.000;PZA;1000;FERR.01;120;0,000;143.000;99.000
AAA500;"TERMINAL ANILLO 1/2"" (AMARILLO) AWG";427.000;PZA;2400;FERR.01;120;0,000;275.000;105.000
AACP;CONECTOR PARALELO (AMARILLO) AWG 12-10;284.000;PZA;10600;FERR.01;320;0,000;107.000;53.000
AACT;CONECTOR TOPE (AMARILLO) AWG 12-10;284.000;PZA;3900;FERR.01;320;0,000;184.000;77.000
AAH125;TERMINAL HEMBRA RECTA .110 (AMARILLO);0,000;PZA;0;FERR.01;520;0,000;0,000;0,000
AAH187;TERMINAL HEMBRA RECTA .187 (AMARILLO);0,000;PZA;0;FERR.01;520;0,000;0,000;0,000
AAH250;TERMINAL HEMBRA RECTA .250 (AMARILLO);191.000;PZA;69084;FERR.01;520;0,000;86.000;49.000
AAH375;TERMINAL HEMBRA RECTA .375 (AMARILLO);289.000;PZA;2743;FERR.01;520;0,000;187.000;123.000
AAHM250;TERMINAL HEMBRA-MACHO .250 (AMARILLO);299.000;PZA;1417;FERR.01;550;0,000;192.000;112.000
AAHR180;TERMINAL HEMBRA REDONDA .180 (AMARILLO);0,000;PZA;0;FERR.01;720;0,000;0,000;0,000
AAHR195;TERMINAL HEMBRA REDONDA .195 (AMARILLO);165.000;PZA;6500;FERR.01;720;0,000;107.000;67.000
AAHT250;TERMINAL HEMBRA RECTA .250 (AMARILLO)AISLADA TOTAL;199.000;PZA;8650;FERR.01;520;0,000;128.000;63.000
AAM250;TERMINAL MACHO PLANO .250 (AMARILLO);156.000;PZA;6600;FERR.01;602;0,000;101.000;49.000
AAMR180;TERMINAL MACHO REDONDO .180 (AMARILLO);0,000;PZA;0;FERR.01;820;0,000;0,000;0,000
