id;code;name;dpto_code;unit;current_stock;cost_max;photo_url;dpto_id;show;orden;cost_oferta;cost_mayor;cost_min;checked;stock_lleg;relacionado;costo;stock_tot
4215;NOCODE-1;POR DEFINIR;INDT.99;PZA;0;0,01;empty.jpg;89;t;1;0;0;0;t;0;NO;0;0
4216;NOCODE-2;POR DEFINIR;INDT.99;PZA;0;0,01;empty.jpg;89;t;1;0;0;0;t;0;NO;0;0
4217;NOCODE-3;POR DEFINIR;INDT.99;PZA;0;0,01;empty.jpg;89;t;1;0;0;0;t;0;NO;0;0
4218;NOCODE-4;POR DEFINIR;INDT.99;PZA;0;0,01;empty.jpg;89;t;1;0;0;0;t;0;NO;0;0
4219;NOCODE-5;POR DEFINIR;INDT.99;PZA;0;0,01;empty.jpg;89;t;1;0;0;0;t;0;NO;0;0
4220;NOCODE-6;POR DEFINIR;INDT.99;PZA;0;0,01;empty.jpg;89;t;1;0;0;0;t;0;NO;0;0
4221;NOCODE-7;POR DEFINIR;INDT.99;PZA;0;0,01;empty.jpg;89;t;1;0;0;0;t;0;NO;0;0
4222;NOCODE-8;POR DEFINIR;INDT.99;PZA;0;0,01;empty.jpg;89;t;1;0;0;0;t;0;NO;0;0
4223;NOCODE-9;POR DEFINIR;INDT.99;PZA;0;0,01;empty.jpg;89;t;1;0;0;0;t;0;NO;0;0
4224;NOCODE-10;POR DEFINIR;INDT.99;PZA;0;0,01;empty.jpg;89;t;1;0;0;0;t;0;NO;0;0
4225;NOCODE-11;POR DEFINIR;INDT.99;PZA;0;0,01;empty.jpg;89;t;1;0;0;0;t;0;NO;0;0
4226;NOCODE-12;POR DEFINIR;INDT.99;PZA;0;0,01;empty.jpg;89;t;1;0;0;0;t;0;NO;0;0
4227;NOCODE-13;POR DEFINIR;INDT.99;PZA;0;0,01;empty.jpg;89;t;1;0;0;0;t;0;NO;0;0
4228;NOCODE-14;POR DEFINIR;INDT.99;PZA;0;0,01;empty.jpg;89;t;1;0;0;0;t;0;NO;0;0
4229;NOCODE-15;POR DEFINIR;INDT.99;PZA;0;0,01;empty.jpg;89;t;1;0;0;0;t;0;NO;0;0
4230;NOCODE-16;POR DEFINIR;INDT.99;PZA;0;0,01;empty.jpg;89;t;1;0;0;0;t;0;NO;0;0
4231;NOCODE-17;POR DEFINIR;INDT.99;PZA;0;0,01;empty.jpg;89;t;1;0;0;0;t;0;NO;0;0
4232;NOCODE-18;POR DEFINIR;INDT.99;PZA;0;0,01;empty.jpg;89;t;1;0;0;0;t;0;NO;0;0
4233;NOCODE-19;POR DEFINIR;INDT.99;PZA;0;0,01;empty.jpg;89;t;1;0;0;0;t;0;NO;0;0
4234;NOCODE-20;POR DEFINIR;INDT.99;PZA;0;0,01;empty.jpg;89;t;1;0;0;0;t;0;NO;0;0
4235;NOCODE-21;POR DEFINIR;INDT.99;PZA;0;0,01;empty.jpg;89;t;1;0;0;0;t;0;NO;0;0
4236;NOCODE-22;POR DEFINIR;INDT.99;PZA;0;0,01;empty.jpg;89;t;1;0;0;0;t;0;NO;0;0
4237;NOCODE-23;POR DEFINIR;INDT.99;PZA;0;0,01;empty.jpg;89;t;1;0;0;0;t;0;NO;0;0
4238;NOCODE-24;POR DEFINIR;INDT.99;PZA;0;0,01;empty.jpg;89;t;1;0;0;0;t;0;NO;0;0
4239;NOCODE-25;POR DEFINIR;INDT.99;PZA;0;0,01;empty.jpg;89;t;1;0;0;0;t;0;NO;0;0
4240;NOCODE-26;POR DEFINIR;INDT.99;PZA;0;0,01;empty.jpg;89;t;1;0;0;0;t;0;NO;0;0
4241;NOCODE-27;POR DEFINIR;INDT.99;PZA;0;0,01;empty.jpg;89;t;1;0;0;0;t;0;NO;0;0
4242;NOCODE-28;POR DEFINIR;INDT.99;PZA;0;0,01;empty.jpg;89;t;1;0;0;0;t;0;NO;0;0
4243;NOCODE-29;POR DEFINIR;INDT.99;PZA;0;0,01;empty.jpg;89;t;1;0;0;0;t;0;NO;0;0
4244;NOCODE-30;POR DEFINIR;INDT.99;PZA;0;0,01;empty.jpg;89;t;1;0;0;0;t;0;NO;0;0
