code;name;cost_max;unit;current_stock;dpto_code;orden;cost_oferta;cost_mayor;cost_min
AAA125;"TERMINAL ANILLO 1/8"" (AMARILLO)";0.111;PZA;3400;FERR.01;120;0;0.046;0
AAA156;"TERMINAL ANILLO 5/32"" (AMARILLO) AWG";0.111;PZA;2900;FERR.01;120;0;0.046;0
AAA187;"TERMINAL ANILLO 3/16"" (AMARILLO) AWG";0.128;PZA;35200;FERR.01;120;0;0.046;0
AAA250;"TERMINAL ANILLO 1/4"" (AMARILLO) AWG";0.128;PZA;22300;FERR.01;120;0;0.052;0
AAA312;"TERMINAL ANILLO 5/16"" (AMARILLO) AWG12-10 PRE-AISLADO";0.166;PZA;11300;FERR.01;120;0;0.083;0
AAA375;"TERMINAL ANILLO 3/8"" (AMARILLO) AWG12-10 PRE-AISLADO";0.166;PZA;7077;FERR.01;120;0;0.086;0
AAA500;"TERMINAL ANILLO 1/2"" (AMARILLO) AWG";0.32;PZA;3100;FERR.01;120;0;0.152;0
AACT;CONECTOR TOPE (AMARILLO) AWG 12-10;0.213;PZA;15200;FERR.01;320;0;0.067;0
AAH125;TERMINAL HEMBRA RECTA .110 (AMARILLO);0;PZA;0;FERR.01;520;0;0;0
AAH187;TERMINAL HEMBRA RECTA .187 (AMARILLO);0;PZA;0;FERR.01;520;0;0;0
AAH250;TERMINAL HEMBRA RECTA .250 (AMARILLO);0.143;PZA;36684;FERR.01;520;0;0.043;0
AAH375;TERMINAL HEMBRA RECTA .375 (AMARILLO);0.217;PZA;7743;FERR.01;520;0;0.107;0
AAHM250;TERMINAL HEMBRA-MACHO .250 (AMARILLO);0.224;PZA;5917;FERR.01;550;0;0.098;0
AAHR180;TERMINAL HEMBRA REDONDA .180 (AMARILLO);0;PZA;0;FERR.01;720;0;0;0
AAHR195;TERMINAL HEMBRA REDONDA .195 (AMARILLO);0.124;PZA;2400;FERR.01;720;0;0.104;0
AAHT250;TERMINAL HEMBRA RECTA .250 (AMARILLO)AISLADA TOTAL;0.149;PZA;6150;FERR.01;520;0;0.061;0
AAM250;TERMINAL MACHO PLANO .250 (AMARILLO);0.117;PZA;3900;FERR.01;602;0;0.043;0
AAMR180;TERMINAL MACHO REDONDO .180 (AMARILLO);0;PZA;0;FERR.01;820;0;0;0
AAMR195;TERMINAL MACHO REDONDO .195 (AMARILLO);0.079;PZA;2300;FERR.01;820;0;0.104;0
AAO125;"TERMINAL HORQUILLA 1/8"" (AMARILLA)";0.109;PZA;1700;FERR.01;220;0;0.089;0
AAO156;"TERMINAL HORQUILLA 5/32"" (AMARILLO)";0.102;PZA;11900;FERR.01;220;0;0.046;0
AAO187;"TERMINAL HORQUILLA 3/16"" (AMARILLO)";0.102;PZA;11300;FERR.01;220;0;0.046;0
AAO250;"TERMINAL HORQUILLA 1/4"" (AMARILLO)";0.102;PZA;1900;FERR.01;220;0;0.086;0
AAO312;"TERMINAL HORQUILLA 5/16"" (AMARILLO)";0.141;PZA;0;FERR.01;220;0;0.118;0
AAPC;TERMINAL PUNTA DE CABLE (AMARILLO);0.151;PZA;10300;FERR.01;420;0;0.067;0
ABA125;"TERMINAL ANILLO 1/8"" (AZUL) AWG 16-14";0.047;PZA;1300;FERR.01;110;0;0.018;0
ABA156;"TERMINAL ANILLO 5/32"" (AZUL) AWG 16-14";0.06;PZA;29800;FERR.01;110;0;0.018;0
ABA187;TERMINAL ANILLO 3/16 (AZUL) AWG 16-14;0.109;PZA;69090;FERR.01;110;0;0.021;0
ABA250;"TERMINAL ANILLO 1/4"" (AZUL) AWG 16-14";0.094;PZA;1090;FERR.01;110;0;0.079;0
ABA312;"TERMINAL ANILLO 5/16"" (AZUL) AWG 16-14";0.094;PZA;2700;FERR.01;110;0;0.028;0
ABA375;"TERMINAL ANILLO 3/8"" (AZUL) AWG 16-14";0.1;PZA;850;FERR.01;110;0;0.067;0
ABCT;CONECTOR TOPE (AZUL) AWG 16-14 AISLADO;0.124;PZA;40700;FERR.01;310;0;0.037;0
ABH110;HEMBRA RECTA .110 AWG 16-14 (AZUL);0.053;PZA;600;FERR.01;510;0;0.034;0
ABH187;TERMINAL HEMBRA RECTA .187 (AZUL);0.06;PZA;40;FERR.01;510;0;0.05;0
ABH250;TERMINAL HEMBRA RECTA .250 (AZUL);0.081;PZA;89056;FERR.01;510;0;0.034;0
ABH312;TERMINAL HEMBRA RECTA .312 (AZUL);0.143;PZA;1600;FERR.01;510;0;0.08;0
ABHM110;MACHO AZULÑ 1/8 100BOLSAS;0;PZA;0;FERR.01;540;0;0;0
ABHM250;TERMINAL HEMBRA-MACHO .250 (AZUL);0.194;PZA;-100;FERR.01;540;0;0.163;0
ABHR156;TERMINAL HEMBRA REDONDA .156 (AZUL);0.096;PZA;2035;FERR.01;710;0;0.067;0
ABHR195;TERMINAL HEMBRA REDONDA .195 (AZUL);0.11;PZA;1300;FERR.01;710;0;0.092;0
ABHT187;TERMINAL HEMBRA RECTA .187 (AZUL);0;PZA;0;FERR.01;510;0;0;0
ABHT250;TERMINAL HEMBRA RECTA 250 AWG 16-14 AISLADA TOTAL (AZUL);0.109;PZA;24100;FERR.01;510;0;0.046;0
ABHTT250;TERMINAL HEMBRA RECTA 250 AWG 16-14 AISLADA TRANS (AZUL);0;PZA;0;FERR.01;510;0;0;0
ABM110;MACHO AZUL 1/8 100 BOLSAS;0;PZA;0;FERR.01;601;0;0;0
ABM187;TERMINAL MACHO PLANO .187 (AZUL);0.107;PZA;100;FERR.01;601;0;0.089;0
ABM250;TERMINAL MACHO PLANO .250 (AZUL);0.085;PZA;6005;FERR.01;601;0;0.031;0
ABMR156;TERMINAL MACHO REDONDO .156 (AZUL);0.087;PZA;1700;FERR.01;810;0;0.067;0
ABMR195;TERMINAL MACHO REDONDO .195 (AZUL);0.11;PZA;0;FERR.01;810;0;0.092;0
ABMTT250;TERMINAL MACHO PLANO .250 (AZUL);0;PZA;0;FERR.01;601;0;0;0
ABO125;"TERMINAL HORQUILLA 1/8"" (AZUL)";0.066;PZA;3650;FERR.01;210;0;0.018;0
ABO156;"TERMINAL HORQUILLA 5/32"" (AZUL)";0.062;PZA;31200;FERR.01;210;0;0.018;0
ABO187;"TERMINAL HORQUILLA 3/16"" (AZUL)";0.062;PZA;1600;FERR.01;210;0;0.052;0
ABO250;"TERMINAL HORQUILLA 1/4"" (AZUL)";0.062;PZA;3300;FERR.01;210;0;0.051;0
ABO312;"TERMINAL HORQUILLA 5/16"" (AZUL)";0.117;PZA;300;FERR.01;210;0;0.098;0
