code;name;cost_max;unit;current_stock;dpto_code;orden;cost_oferta;cost_mayor;cost_min
AAA125;"TERMINAL ANILLO 1/8"" (AMARILLO)";0.148;PZA;6200;FERR.01;120;0;0.096;0.052
AAA156;"TERMINAL ANILLO 5/32"" (AMARILLO) AWG";0.148;PZA;8600;FERR.01;120;0;0.096;0.052
AAA187;"TERMINAL ANILLO 3/16"" (AMARILLO) AWG";0.171;PZA;18900;FERR.01;120;0;0.111;0.052
AAA250;"TERMINAL ANILLO 1/4"" (AMARILLO) AWG";0.171;PZA;11600;FERR.01;120;0;0.111;0.06
AAA312;"TERMINAL ANILLO 5/16"" (AMARILLO) AWG12-10 PRE-AISLADO";0.221;PZA;9300;FERR.01;120;0;0.143;0.095
AAA375;"TERMINAL ANILLO 3/8"" (AMARILLO) AWG12-10 PRE-AISLADO";0.221;PZA;1000;FERR.01;120;0;0.143;0.099
AAA500;"TERMINAL ANILLO 1/2"" (AMARILLO) AWG";0.427;PZA;2400;FERR.01;120;0;0.275;0.105
AACP;CONECTOR PARALELO (AMARILLO) AWG 12-10;0.284;PZA;10600;FERR.01;320;0;0.107;0.053
AACT;CONECTOR TOPE (AMARILLO) AWG 12-10;0.284;PZA;3900;FERR.01;320;0;0.184;0.077
AAH125;TERMINAL HEMBRA RECTA .110 (AMARILLO);0;PZA;0;FERR.01;520;0;0;0
AAH187;TERMINAL HEMBRA RECTA .187 (AMARILLO);0;PZA;0;FERR.01;520;0;0;0
AAH250;TERMINAL HEMBRA RECTA .250 (AMARILLO);0.191;PZA;69084;FERR.01;520;0;0.086;0.049
AAH375;TERMINAL HEMBRA RECTA .375 (AMARILLO);0.289;PZA;2643;FERR.01;520;0;0.187;0.123
AAHM250;TERMINAL HEMBRA-MACHO .250 (AMARILLO);0.299;PZA;1417;FERR.01;550;0;0.192;0.112
AAHR180;TERMINAL HEMBRA REDONDA .180 (AMARILLO);0;PZA;0;FERR.01;720;0;0;0
AAHR195;TERMINAL HEMBRA REDONDA .195 (AMARILLO);0.165;PZA;6500;FERR.01;720;0;0.107;0.067
AAHT250;TERMINAL HEMBRA RECTA .250 (AMARILLO)AISLADA TOTAL;0.199;PZA;8650;FERR.01;520;0;0.128;0.063
AAM250;TERMINAL MACHO PLANO .250 (AMARILLO);0.156;PZA;6600;FERR.01;602;0;0.101;0.049
AAMR180;TERMINAL MACHO REDONDO .180 (AMARILLO);0;PZA;0;FERR.01;820;0;0;0
AAMR195;TERMINAL MACHO REDONDO .195 (AMARILLO);0.105;PZA;1200;FERR.01;820;0;0.071;0.069
AAO125;"TERMINAL HORQUILLA 1/8"" (AMARILLA)";0.145;PZA;2700;FERR.01;220;0;0.093;0.052
AAO156;"TERMINAL HORQUILLA 5/32"" (AMARILLO)";0.136;PZA;11100;FERR.01;220;0;0.088;0.052
AAO187;"TERMINAL HORQUILLA 3/16"" (AMARILLO)";0.136;PZA;5800;FERR.01;220;0;0.088;0.052
AAO250;"TERMINAL HORQUILLA 1/4"" (AMARILLO)";0.136;PZA;12200;FERR.01;220;0;0.088;0.052
AAO312;"TERMINAL HORQUILLA 5/16"" (AMARILLO)";0.188;PZA;3500;FERR.01;220;0;0.121;0.088
AAPC;TERMINAL PUNTA DE CABLE (AMARILLO);0.201;PZA;4900;FERR.01;420;0;0.131;0.077
ABA125;"TERMINAL ANILLO 1/8"" (AZUL) AWG 16-14";0.063;PZA;12000;FERR.01;110;0;0.04;0.021
ABA156;"TERMINAL ANILLO 5/32"" (AZUL) AWG 16-14";0.08;PZA;25300;FERR.01;110;0;0.052;0.021
ABA187;TERMINAL ANILLO 3/16 (AZUL) AWG 16-14;0.145;PZA;40690;FERR.01;110;0;0.093;0.024
ABA250;"TERMINAL ANILLO 1/4"" (AZUL) AWG 16-14";0.125;PZA;10090;FERR.01;110;0;0.081;0.032
ABA312;"TERMINAL ANILLO 5/16"" (AZUL) AWG 16-14";0.125;PZA;0;FERR.01;110;0;0.081;0.032
ABA375;"TERMINAL ANILLO 3/8"" (AZUL) AWG 16-14";0.133;PZA;3500;FERR.01;110;0;0.087;0.077
ABCP;CONECTOR PARALELO (AZUL) AWG 16-14 AISLADO;0.165;PZA;34100;FERR.01;310;0;0.08;0.033
ABCT;CONECTOR TOPE (AZUL) AWG 16-14 AISLADO;0.165;PZA;13400;FERR.01;310;0;0.107;0.043
ABH110;HEMBRA RECTA .110 AWG 16-14 (AZUL);0.071;PZA;14900;FERR.01;510;0;0.045;0.039
ABH187;TERMINAL HEMBRA RECTA .187 (AZUL);0.08;PZA;11640;FERR.01;510;0;0.052;0.032
ABH250;TERMINAL HEMBRA RECTA .250 (AZUL);0.108;PZA;69256;FERR.01;510;0;0.069;0.039
ABH312;TERMINAL HEMBRA RECTA .312 (AZUL);0.191;PZA;7000;FERR.01;510;0;0.123;0.091
ABHM110;MACHO AZULÑ 1/8 100BOLSAS;0;PZA;0;FERR.01;540;0;0;0
ABHM250;TERMINAL HEMBRA-MACHO .250 (AZUL);0.259;PZA;8400;FERR.01;540;0;0.167;0.073
ABHR156;TERMINAL HEMBRA REDONDA .156 (AZUL);0.128;PZA;635;FERR.01;710;0;0.083;0.077
ABHR195;TERMINAL HEMBRA REDONDA .195 (AZUL);0.147;PZA;600;FERR.01;710;0;0.123;0
ABHT187;TERMINAL HEMBRA RECTA .187 (AZUL);0;PZA;0;FERR.01;510;0;0;0
ABHT250;TERMINAL HEMBRA RECTA 250 AWG 16-14 AISLADA TOTAL (AZUL);0.145;PZA;14500;FERR.01;510;0;0.093;0.052
ABHTT250;TERMINAL HEMBRA RECTA 250 AWG 16-14 AISLADA TRANS (AZUL);0;PZA;0;FERR.01;510;0;0;0
ABM110;MACHO AZUL 1/8 100 BOLSAS;0;PZA;0;FERR.01;601;0;0;0
ABM187;TERMINAL MACHO PLANO .187 (AZUL);0.143;PZA;100;FERR.01;601;0;0.092;0
ABM250;TERMINAL MACHO PLANO .250 (AZUL);0.113;PZA;1305;FERR.01;601;0;0.073;0.035
ABMR156;TERMINAL MACHO REDONDO .156 (AZUL);0.116;PZA;800;FERR.01;810;0;0.056;0.055
ABMR195;TERMINAL MACHO REDONDO .195 (AZUL);0.147;PZA;0;FERR.01;810;0;0.123;0
ABMTT250;TERMINAL MACHO PLANO .250 (AZUL);0;PZA;0;FERR.01;601;0;0;0
ABO125;"TERMINAL HORQUILLA 1/8"" (AZUL)";0.088;PZA;11150;FERR.01;210;0;0.057;0.021
ABO156;"TERMINAL HORQUILLA 5/32"" (AZUL)";0.083;PZA;19000;FERR.01;210;0;0.053;0.021
ABO187;"TERMINAL HORQUILLA 3/16"" (AZUL)";0.083;PZA;4900;FERR.01;210;0;0.053;0.024
ABO250;"TERMINAL HORQUILLA 1/4"" (AZUL)";0.083;PZA;10700;FERR.01;210;0;0.053;0.032
ABO312;"TERMINAL HORQUILLA 5/16"" (AZUL)";0.156;PZA;9100;FERR.01;210;0;0.101;0.063
ABPC;TERMINAL PUNTA DE CABLE (AZUL) AWG 16-14;0.103;PZA;37100;FERR.01;410;0;0.067;0.045
ACAPCR1;CAPUCHON C/RESORTE GRIS AWG (20x1+22x1:;0.068;PZA;6700;FERR.02;1;0;0.023;0.017
ACAPCR2;CAPUCHON C/RESORTE AZUL AWG(20x3:16x3);0.071;PZA;0;FERR.02;1;0;0.029;0.023
ACAPCR3;CAPUCHON C/RESORTE ANARANJADO AWG (20x3:;0.108;PZA;27200;FERR.02;1;0;0.049;0.039
ACAPCR4;CAPUCHON C/RESORTE AMARILLO (14X1+18X1:;0.145;PZA;0;FERR.02;1;0;0.079;0.06
ACAPLT2;CAPUCHON TRANSPARENTE AWG 12-10;0;PZA;0;FERR.02;1;0;0;0
ACAPSR1;CAPUCHON S/RESORTE ROJO AWG (1X16+2x18:;0;PZA;0;FERR.02;1;0;0;0
ACAPSR2;CAPUCHON S/RESORTE AZUL AWG 22-14;0;PZA;0;FERR.02;1;0;0;0
ACAPT2;CAPUCHON TRANSPARENTE AWG 22-14;0;PZA;0;FERR.02;1;0;0;0
ACAPT8;CAPUCHON TRANSPARENTE AWG 16-10;0.1;PZA;800;FERR.02;1;0;0;0
APH16;TERMINAL PIN HUECO 16 AWG;0.033;PZA;700;FERR.01;900;0;0;0
APH18;TERMINAL PIN HUECO 18AWG E1010 10mm AMARILLO;0.031;PZA;100;FERR.01;900;0;0;0
AQS-B;CONECCION RAPIDA AWG 16-14;0.173;PZA;3;FERR.02;1;0;0.112;0
AQS-R;CONECCION RAPIDA AWG 22-16 (ROJO);0.168;PZA;0;FERR.02;1;0;0.108;0
AQS-Y;CONECCION RAPIDA AWG 12-10 (AMARILLO);0.201;PZA;50;FERR.02;1;0;0.131;0
ARA125;"TERMINAL ANILLO 1/8"" (ROJO) AWG 22-18";0.057;PZA;15100;FERR.01;100;0;0.037;0.017
ARA156;"TERMINAL ANILLO 5/32"" (ROJO) AWG 22-18";0.08;PZA;26100;FERR.01;100;0;0.052;0.017
ARA187;"TERMINAL ANILLO 3/16"" (ROJO) AWG 22-18";0.083;PZA;10500;FERR.01;100;0;0.053;0.021
ARA250;"TERMINAL ANILLO 1/4"" (ROJO) AWG 22-18";0.093;PZA;12700;FERR.01;100;0;0.06;0.032
ARA312;"TERMINAL ANILLO 5/16"" (ROJO) AWG 22-18";0.091;PZA;9600;FERR.01;100;0;0.059;0.043
ARA375;"TERMINAL ANILLO 3/8"" (ROJO) AWG 22-18";0.111;PZA;1600;FERR.01;100;0;0.072;0
ARCP;CONECTOR PARALELO (ROJO) AWG 22-18 AISLADO;0.145;PZA;17600;FERR.01;300;0;0.067;0.02
ARCT;CONECTOR TOPE (ROJO) AWG 22-18 AISLADO;0.145;PZA;11178;FERR.01;300;0;0.093;0.035
ARH110;TERMINAL HEMBRA RECTA .110 (ROJO) AWG;0.068;PZA;10300;FERR.01;500;0;0.044;0.028
ARH187;TERMINAL HEMBRA RECTA .187 (ROJO) AWG;0.071;PZA;13700;FERR.01;500;0;0.045;0.032
ARH250;TERMINAL HEMBRA RECTA .250 (ROJO) AWG;0.103;PZA;43600;FERR.01;500;0;0.067;0.035
ARHM250;TERMINAL HEMBRA-MACHO .250 (ROJO) AWG;0.188;PZA;4100;FERR.01;530;0;0.121;0.073
ARHR156;TERMINAL HEMBRA REDONDA .156 (ROJO) AWG;0.125;PZA;2048;FERR.01;700;0;0.081;0.077
ARHR180;TERMINAL HEMBRA REDONDA .180 (ROJO) AWG;0;PZA;0;FERR.01;700;0;0;0
ARHT250;TERMINAL HEMBRA RECTA .250 (ROJO) AWG FORRADA TOTAL;0.133;PZA;6350;FERR.01;501;0;0.087;0.056
ARHTT250;TERMINAL HEMBRA RECTA .250 (ROJO) AWG;0;PZA;0;FERR.01;501;0;0;0
ARM110;MACHO ROJO DE 1/8 100 BOLSAS;0;PZA;0;FERR.01;600;0;0;0
ARM187;MACHO ROJO DE 3/16 100 BOLSAS;0;PZA;0;FERR.01;600;0;0;0
ARM250;TERMINAL MACHO PLANO .250 (ROJO) AWG;0.083;PZA;13639;FERR.01;600;0;0.053;0.032
ARMR156;TERMINAL MACHO REDONDO .156 (ROJO) AWG;0.105;PZA;2800;FERR.01;800;0;0.048;0.047
ARMR180;TERMINAL MACHO REDONDO .180 (ROJO) AWG;0;PZA;0;FERR.01;800;0;0;0
ARMTT250;TERMINAL MACHO PLANO .250 (ROJO) AWG;0.083;PZA;5550;FERR.01;600;0;0.053;0.032
ARO125;"TERMINAL HORQUILLA 1/8"" (ROJO) AWG 22-18";0.065;PZA;14000;FERR.01;200;0;0.043;0.017
ARO156;"TERMINAL HORQUILLA 5/32"" (ROJO)AWG 22-18";0.08;PZA;22700;FERR.01;200;0;0.052;0.017
ARO187;"TERMINAL HORQUILLA 3/16"" (ROJO)AWG 22-18";0.08;PZA;13900;FERR.01;200;0;0.052;0.021
ARO250;"TERMINAL HORQUILLA 1/4"" (ROJO) AWG 22-18";0.083;PZA;10400;FERR.01;200;0;0.053;0.028
ARPC;TERMINAL PUNTA DE CABLE (ROJO) AWG 22-18;0.093;PZA;9600;FERR.01;400;0;0.06;0.039
ATM250;CONECTOR EMPALME PARA MACHO PLANO 250;0;PZA;1100;FERR.01;900;0;0;0
AZNAM;TERMOENCOGIBLE CON ESTAÑO AWG 12-10 AMARILLO;0.199;PZA;3900;FERR.01;1;0;0.166;0.138
AZNAZ;TERMOENCOGIBLE CON ESTAÑO AWG 14-16;0.163;PZA;900;FERR.01;900;0;0.136;0.113
